date,return_pct,cir,breadth_ratio,range_pct,range_ratio,vol_zscore,vix_level,vix_change_pct,label_e1,label_e2,label_e3
2020-01-02,,0.9186476492340313,0.7773167358229599,0.7706274120271582,,,11.49,,,,
2020-01-03,-0.004522805360603233,0.47542087542086564,0.45536332179930794,0.6072799990185374,,,12.7,10.530896431679704,Trend-Down,Range,Range
2020-01-06,-0.0191058057603678,0.09199609565641083,0.12945205479452054,1.7084895001688447,,,14.78,16.377952755905522,Trend-Down,Range,Trend-Down
2020-01-07,0.004994559348956429,0.32425068119891415,0.7231089521165857,1.21795908885376,,,14.61,-1.1502029769959399,Range,Range,Range
2020-01-08,-0.002289895834629685,0.8300823580407429,0.3640776699029126,0.9592236400603754,,,15.64,7.049965776865164,Range,Range,Range
2020-01-09,0.015845692640962472,0.9109289617486379,0.8186206896551724,0.7490238132270238,,,14.0,-10.48593350383632,Trend-Up,Range,Trend-Up
2020-01-10,0.003348095514861704,0.4448979591836586,0.5715277777777777,0.7995561647412049,,,14.08,0.5714285714285783,Range,Range,Range
2020-01-13,0.005935480712747188,0.84215591915302,0.6731034482758621,0.4213454667850873,,,14.28,1.4204545454545414,Trend-Up,Range,Trend-Up
2020-01-14,0.002656220218904881,0.8176964149504065,0.5919778699861687,0.5302411363581152,,,13.91,-2.591036414565817,Trend-Up,Range,Range
2020-01-15,-0.0015369308300234863,0.8448952879581096,0.6044107512060648,0.6189592734519913,,,14.12,1.5097052480230078,Range,Range,Range
2020-01-16,0.0009883904628422702,0.5419795221843102,0.6006993006993007,0.5928533851321274,,,14.18,0.4249291784702569,Range,Range,Range
2020-01-17,-0.0002549471895106903,0.4832162373146011,0.5052337752965806,0.5185248151161609,,,14.13,-0.35260930888574293,Range,Range,Range
2020-01-20,-0.01034620942573694,0.03581460674157127,0.3043175487465181,1.7473035817269378,,,15.41,9.058740268931341,Trend-Down,Range,Trend-Down
2020-01-21,-0.004474602337100286,0.11143911439116003,0.40415224913494807,0.556703656988377,,,15.86,2.9201817001946795,Trend-Down,Range,Trend-Down
2020-01-22,-0.005172619218807184,0.13853445133066022,0.3777932960893855,1.1328250832170055,,,16.36,3.1525851197982346,Trend-Down,Range,Trend-Down
