date,label_e3,label_e5,was_demoted,volume_ratio,concentration_ratio
2020-01-02,Range,Range,0,,
2020-01-03,Range,Range,0,,
2020-01-06,Trend-Down,Trend-Down,0,,
2020-01-07,Range,Range,0,1.1058560074960486,1.053034009049933
2020-01-08,Range,Range,0,1.0849200803003585,0.9718794829464225
2020-01-09,Trend-Up,Trend-Up,0,1.1516171311526693,1.023342859268898
2020-01-10,Range,Range,0,1.1373997908955789,1.0463419839380377
2020-01-13,Trend-Up,Trend-Up,0,1.0189302582163406,1.1070630094720706
2020-01-14,Range,Range,0,1.1031772107381508,1.1131697517271122
2020-01-15,Range,Range,0,1.118122355060387,1.024766598242634
2020-01-16,Range,Range,0,1.0546745174293228,0.8043448832585468
2020-01-17,Range,Range,0,1.1658317137111953,1.2046358321279282
2020-01-20,Trend-Down,Trend-Down,0,1.0958984631570572,1.2355360584151536
2020-01-21,Trend-Down,Trend-Down,0,1.0400312556516933,1.0656428227016812
2020-01-22,Trend-Down,Trend-Down,0,1.0851513372718882,0.9371428988922615
2020-01-23,Trend-Up,Trend-Up,0,1.2792949172476955,1.104043567388895
2020-01-24,Trend-Up,Trend-Up,0,1.0495168143049693,0.9067612622090283
2020-01-27,Trend-Down,Trend-Down,0,0.9988913456880828,0.9823644683611641
2020-01-28,Trend-Down,Trend-Down,0,1.1295248704579643,1.1091549735008521
2020-01-29,Range,Range,0,1.0836641960058941,0.9852452541306912
2020-01-30,Trend-Down,Trend-Down,0,1.0779895931692562,0.9541559373037926
2020-01-31,Trend-Down,Trend-Down,0,1.2046754806203648,1.059610721809586
2020-02-03,Range,Range,0,1.1845486963790206,0.9841790103372801
2020-02-04,Trend-Up,Trend-Up,0,1.1576771051914903,0.8663164581172894
2020-02-05,Trend-Up,Trend-Up,0,1.176779312483256,0.9670361614495051
2020-02-06,Range,Range,0,1.1949340158008859,0.9411951904462661
2020-02-07,Range,Range,0,0.98376727581076,0.7698360280315516
2020-02-10,Trend-Down,Trend-Down,0,0.8797716121502764,0.7880194824447193
2020-02-11,Range,Range,0,0.9088323040121821,0.8876457532913835
2020-02-12,Trend-Up,Trend-Up,0,0.9306023896456146,1.0052729142825425
2020-02-13,Range,Range,0,0.8870663305188045,0.9750680869494968
2020-02-14,Trend-Down,Trend-Down,0,0.9891471102920673,1.088315439901089
2020-02-17,Trend-Down,Trend-Down,0,0.8689299620078316,1.0883846637388714
2020-02-18,Range,Range,0,0.9898441803314513,0.9928859104609171
2020-02-19,Trend-Up,Trend-Up,0,0.9801682732643449,1.1577059509831773
2020-02-20,Range,Range,0,1.1361610213429614,1.1396679557783809
2020-02-24,Trend-Down,Trend-Down,0,1.004772343047763,1.0699790477549367
2020-02-25,Range,Range,0,0.946100513124088,0.9609619814065883
2020-02-26,Trend-Down,Trend-Down,0,1.0393980348997502,0.9546050739326202
2020-02-27,Range,Range,0,1.0219161887652497,0.9457657873503983
2020-02-28,Trend-Down,Trend-Down,0,1.4194017335912665,1.0343582271481635
2020-03-02,Trend-Down,Trend-Down,0,1.1303517797360572,1.0698761119697653
2020-03-03,Trend-Up,Trend-Up,0,1.081539948006352,0.9690663957644432
2020-03-04,Range,Range,0,1.1652198917735925,0.9958553697417747
2020-03-05,Range,Range,0,1.099642598208282,1.2732231871678081
2020-03-06,Range,Range,0,1.0795547992020669,1.264628246310014
2020-03-09,Trend-Down,Trend-Down,0,1.2903400548217785,1.2259526658027557
2020-03-11,Range,Range,0,1.1982042999594478,1.0811329166614314
2020-03-12,Trend-Down,Trend-Down,0,1.4134859312012074,1.070850337757777
2020-03-13,Trend-Up,Trend-Up,0,1.4608218189226045,1.2029099615781038
2020-03-16,Trend-Down,Trend-Down,0,1.0946265869279972,1.1535207139209327
2020-03-17,Trend-Down,Trend-Down,0,0.9857870902869375,1.026418251739103
2020-03-18,Trend-Down,Trend-Down,0,1.2332700342918865,1.1861641460062609
2020-03-19,Range,Range,0,1.115769536078022,1.1126301587344025
2020-03-20,Trend-Up,Trend-Up,0,1.1799170500649165,1.1095674983649553
2020-03-23,Trend-Down,Trend-Down,0,0.7158831815247796,1.1909671494353173
2020-03-24,Trend-Up,Trend-Up,0,0.8397708007310389,1.1658518961902378
2020-03-25,Trend-Up,Trend-Up,0,0.8461837374863587,1.245991775682577
2020-03-26,Trend-Up,Trend-Up,0,0.9937189580040585,1.1475360349714496
2020-03-27,Range,Range,0,0.9527391407531762,1.2184364393733442
2020-03-30,Trend-Down,Trend-Down,0,0.7417272243317086,1.147852668465116
2020-03-31,Trend-Up,Trend-Up,0,0.824199371184964,1.065291233551389
2020-04-01,Trend-Down,Trend-Down,0,0.6726961286815591,1.0455760171849506
