overnight_gap_pct,overnight_gap_pct_z20,overnight_range_pct,overnight_range_pct_p20,overnight_range_pct_p60,overnight_oi_change_pct,overnight_oi_change_pct_z20,overnight_volume_conviction,overnight_vol_delta,overnight_vol_delta_z20,fii_net_idx_fut,fii_net_idx_fut_delta5,fii_net_idx_fut_z20,fii_net_idx_fut_p60,fii_net_stk_fut,fii_net_stk_fut_delta5,fii_net_stk_fut_z20,fii_options_skew,fii_options_skew_z20,fii_options_skew_ratio,fii_dii_divergence,fii_dii_divergence_z20,client_vs_fii_divergence,client_vs_fii_divergence_z60,fii_acceleration_1d,fii_acceleration_1d_z20,fii_acceleration_3d,fii_acceleration_3d_z20,fii_acceleration_5d,fii_acceleration_5d_z20,pcr_oi_near_month,pcr_oi_next_month,max_pain_distance_pct,oi_concentration_atm,buildup_class,buildup_intensity,vix_overnight_gap_pct,vix_overnight_gap_pct_z20,turnover_weighted_breadth,turnover_weighted_breadth_z20,leadership_concentration,leadership_concentration_p60,cross_sectional_dispersion,cross_sectional_dispersion_z20,volume_concentration,volume_concentration_p60,iv_rv_spread,iv_rv_ratio,iv_rv_spread_z60,overnight_vs_session_vol,overnight_vs_session_vol_z20,nifty500_vs_nifty50_return_5d,midcap150_vs_nifty50_return_5d,smallcap250_vs_nifty50_return_5d,index_breadth_divergence,date,availability_regime,missing_count,nifty_return,breadth_ratio,vix_change_pct,coincident_truth,next_day_return,predictive_truth
,,,,,,,,,,4689.0,8859.0,,,504823.0,-8295.0,,-188237.0,,0.37635460991044367,1834184.0,,-453818.0,,-8766.0,,-6543.0,,8859.0,,1.4430540410869281,0.8333511739099407,1.1745901639344203,38.465754598576375,,,0.017972681524079815,,0.6259354762259377,,28.720586170297853,,3.564972483294316,,52.60168933803408,,,,,,,0.0036707214753887406,0.014056268390628002,0.02416004336381446,1.0,2020-01-15,pre_ix,31,-0.0015369308300235394,0.6044107512060648,1.5097052480229984,Neutral,0.0009883904628422487,Neutral
,,,,,,,,,,-1939.0,-9966.0,,,500317.0,-17364.0,,-141822.0,,0.39272423057838235,1799148.0,,-498137.0,,-6628.0,,-16177.0,,-9966.0,,1.4044993327260789,0.8323340949305115,1.2745901639344261,38.64391608785896,,,0.0,,0.5806067441831781,,22.14898428956144,,3.1001654051972087,,41.662347671090075,,,,,,,0.005281006574421137,0.02327177318505126,0.027621354887213158,1.0,2020-01-16,pre_ix,31,0.0009883904628422487,0.6006993006993007,0.42492917847025846,Neutral,-0.00025494718951071474,Neutral
,,,,,,,,,,980.0,-10252.0,,,492324.0,-21253.0,,-140085.0,,0.40274427962659803,1803305.0,,-478365.0,,2919.0,,-12475.0,,-10252.0,,1.408840489062915,0.8412589288708542,0.8355102040816357,35.89614537797491,,,0.017630465444284222,,0.5399629326607552,,33.747156160071995,,3.3341867571300017,,66.00519803090728,,,,,,,0.006305349642720921,0.028457139575091772,0.028201724459556446,1.0,2020-01-17,pre_ix,31,-0.00025494718951071474,0.5052337752965806,-0.35260930888574704,Neutral,-0.01034620942573689,Bearish
,,,,,,,,,,5701.0,-8537.0,,,475857.0,-37023.0,,-134267.0,,0.415795250010975,1795925.0,,-359600.0,,4721.0,,1012.0,,-8537.0,,1.203507705097218,0.774120049120419,0.20122950819671534,43.19558872589004,,,-0.0176928520877656,,0.345482847461409,,35.25149987235686,,2.8227022985832644,,52.811215692896326,,,,,,,0.006843235676093018,0.033401096700390015,0.029347628046140113,0.0,2020-01-20,pre_ix,31,-0.01034620942573689,0.3043175487465181,9.058740268931347,Bearish,-0.004474602337100254,Bearish
,,,,,,,,,,854.0,-12601.0,,,460337.0,-56980.0,,-144699.0,,0.41035124957715485,1743502.0,,-251795.0,,-4847.0,,2793.0,,-12601.0,,1.1485598213958936,0.7750866934113008,-0.24713114754098062,43.96755988832316,,,0.0,,0.5426303629363655,,30.547448182525933,,2.8153399750382393,,60.92535532121417,,,,,,,0.006803962850910677,0.03220830486643955,0.03086603156838704,0.0,2020-01-21,pre_ix,31,-0.004474602337100254,0.40415224913494807,2.920181700194674,Bearish,-0.0051726192188071935,Bearish
,,,,,,,,,,-8113.0,-12802.0,,,430475.0,-74348.0,,-149840.0,,0.41047487034868435,1705363.0,,-138543.0,,-8967.0,,-9093.0,,-12802.0,,1.048029342124788,0.7847709529934667,-0.7631147540983636,44.03695157390708,,,0.015762925598999236,,0.39043562953872085,,26.751799097849876,,2.60171197674258,,52.02565135199308,,,,,,,0.0052679520341443725,0.02446318531730983,0.023549788792967666,0.0,2020-01-22,pre_ix,31,-0.0051726192188071935,0.3777932960893855,3.1525851197982346,Bearish,0.006066788360356551,Bullish
,,,,,,,,,,-14538.0,-12599.0,,,433562.0,-66755.0,,-161750.0,,0.3883999414919013,1701359.0,,-308117.0,,-6425.0,,-20239.0,,-12599.0,,1.1392371611415255,0.8148656457671193,-0.16106557377048883,48.57394739391115,,,0.0,,0.8210957561143225,,31.722448875972812,,2.877301565168675,,64.09212782035219,,,,,,,0.0054073704643820015,0.02382761063210101,0.017672276383012737,0.0,2020-01-23,pre_ix,31,0.006066788360356551,0.6033755274261603,-3.0562347188264063,Bullish,0.005574552455389183,Bullish
,,,,,,,,,,-21679.0,-22659.0,,,434751.0,-57573.0,,-169409.0,,0.3907741982903911,1683860.0,,-297397.0,,-7141.0,,-22533.0,,-22659.0,,0.8659066659178974,0.8659066659178974,0.3954918032786885,23.628943424165268,,,-0.031525851197976074,,0.7200257675174733,,25.911825826090627,,2.6795374464360906,,51.088099929815144,,,,,,,0.004968603821169145,0.021446266689862617,0.013423977296052261,0.0,2020-01-24,pre_ix,31,0.005574552455389183,0.590749824807288,-1.8915510718789341,Bullish,-0.010552527912150715,Bearish
,,,,,,,,,,-45849.0,-51550.0,,,425525.0,-50332.0,,-168316.0,,0.39611816345978185,1663745.0,,-180016.0,,-24170.0,,-37736.0,,-51550.0,,0.8820989639679152,0.8820989639679152,-0.6639344262295082,35.89682510913526,,,0.0,,0.42178868343003856,,28.04480410821442,,2.986167828798669,,45.41836044719443,,,,,,,0.0060309551613597304,0.02457746370827023,0.018162994350006095,0.0,2020-01-27,pre_ix,31,-0.010552527912150715,0.36772853185595566,10.411311053984571,Bearish,-0.005214951728690546,Bearish
,,,,,,,,,,-53665.0,-54519.0,-2.7105709042390944,,408333.0,-52004.0,-2.0504638065035006,-165773.0,-0.6975234514708204,0.39999517389074896,1632607.0,-2.2033203780554467,-83477.0,,-7816.0,,-39127.0,,-54519.0,,0.8903819371175353,0.8903819371175353,-1.18196721311476,31.193098860079566,,,-0.0291036088474913,,0.3552293551473762,-1.050081254903409,31.847416792791762,,2.6752141604453077,-1.3074938347622007,51.93333419894892,,,,,,,0.0063077061531550665,0.024735334816315756,0.016575469858788123,0.0,2020-01-28,pre_ix,25,-0.005214951728690546,0.29573590096286106,0.6984866123399359,Bearish,0.006113240100200794,Bullish
