2026-03-21 04:27:21 [INFO] ======================================================================
2026-03-21 04:27:21 [INFO] NSE HISTORICAL BACKFILL
2026-03-21 04:27:21 [INFO] Date range: 2020-01-01 to 2025-08-31
2026-03-21 04:27:21 [INFO] Feeds: cm, idx, fo
2026-03-21 04:27:21 [INFO] Format switch date: 2024-01-01
2026-03-21 04:27:21 [INFO] ======================================================================
2026-03-21 04:27:21 [INFO] Connected to database
2026-03-21 04:27:21 [INFO] Total weekday dates in range: 1478
2026-03-21 04:27:21 [INFO] Progress: 1/1478 dates (2020-01-01) | Rate: 174762.7 dates/s | ETA: 0.0h
2026-03-21 04:27:21 [INFO] CM 2020-01-01: parsed=1502, inserted=2, skipped=1500, time=0.4s
2026-03-21 04:27:24 [INFO] IDX 2020-01-01: parsed=77, inserted=77, skipped=0, time=0.1s
2026-03-21 04:27:28 [INFO] FO 2020-01-01: parsed=31809, inserted=15809, skipped=16000, time=2.8s
2026-03-21 04:27:30 [INFO] CM 2020-01-02: parsed=1490, inserted=490, skipped=1000, time=0.1s
2026-03-21 04:27:32 [INFO] IDX 2020-01-02: parsed=79, inserted=79, skipped=0, time=0.0s
2026-03-21 04:27:36 [INFO] FO 2020-01-02: parsed=31835, inserted=15835, skipped=16000, time=1.5s
2026-03-21 04:27:38 [INFO] CM 2020-01-03: parsed=1493, inserted=493, skipped=1000, time=0.1s
2026-03-21 04:27:40 [INFO] IDX 2020-01-03: parsed=79, inserted=79, skipped=0, time=0.1s
2026-03-21 04:27:44 [INFO] FO 2020-01-03: parsed=31885, inserted=15885, skipped=16000, time=1.6s
2026-03-21 04:27:46 [INFO] CM 2020-01-06: parsed=1499, inserted=499, skipped=1000, time=0.2s
2026-03-21 04:27:48 [INFO] IDX 2020-01-06: parsed=79, inserted=79, skipped=0, time=0.1s
2026-03-21 04:27:52 [INFO] FO 2020-01-06: parsed=31939, inserted=15939, skipped=16000, time=1.8s
2026-03-21 04:27:54 [INFO] CM 2020-01-07: parsed=1496, inserted=496, skipped=1000, time=0.2s
2026-03-21 04:27:56 [INFO] IDX 2020-01-07: parsed=79, inserted=79, skipped=0, time=0.1s
2026-03-21 04:28:00 [INFO] FO 2020-01-07: parsed=32071, inserted=16070, skipped=16001, time=1.6s
2026-03-21 04:28:02 [INFO] CM 2020-01-08: parsed=1497, inserted=497, skipped=1000, time=0.1s
2026-03-21 04:28:04 [INFO] IDX 2020-01-08: parsed=79, inserted=79, skipped=0, time=0.1s
2026-03-21 04:28:07 [INFO] FO 2020-01-08: parsed=32119, inserted=16119, skipped=16000, time=1.5s
2026-03-21 04:28:10 [INFO] CM 2020-01-09: parsed=1498, inserted=498, skipped=1000, time=0.1s
2026-03-21 04:28:12 [INFO] IDX 2020-01-09: parsed=79, inserted=79, skipped=0, time=0.1s
2026-03-21 04:28:16 [INFO] FO 2020-01-09: parsed=32185, inserted=16185, skipped=16000, time=1.9s
2026-03-21 04:28:18 [INFO] CM 2020-01-10: parsed=1502, inserted=2, skipped=1500, time=0.1s
2026-03-21 04:28:20 [INFO] IDX 2020-01-10: parsed=79, inserted=79, skipped=0, time=0.1s
2026-03-21 04:28:23 [INFO] FO 2020-01-10: parsed=32199, inserted=16198, skipped=16001, time=1.5s
